,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,Scotts Miracle-Gro,,"Marysville, Ohio (1998)","Marysville, Ohio, USA",Subsidiary,"2,000",,
0,Ralphs,,"1873 (Los Angeles, California)","Compton, California[1]",Subsidiary of The Kroger Co.,,,
0,Weber Shandwick,,January 2001; 15 years ago (2001-01),"909 Third Avenue,
New York, NY 10022
United States",Subsidiary,,,
0,Princeton University,,,,Private,,,
0,Valassis,,1970; 46 years ago (1970),"Livonia, Michigan, U.S.",,,,
0,Siemens Energy,,"January 1, 2008",,,"83,500 (FY 2013 (September 30))",,
0,Vocus,Merged with Cision AB to form Cision Inc.,1992 (1992),"Beltsville, Maryland, United States",Private,"1,200",,
0,Educational Testing Service,,1947,"660 Rosedale Road, Princeton, New Jersey",501(c)(3),,,
0,Ashley Furniture,,"1945; 71 years ago (1945)
Chicago, Illinois, U.S.","Arcadia, Wisconsin, U.S.",Private,"22,582",,
0,Rice University,,,,"Private, non-profit",,,
0,Baylor College of Medicine,,,,Private medical school,,,
0,Oregon State University,,,,"Public
Land-grant
Sea-grant
Space-grant
Sun-grant",,,
0,Duke University Health System,,1998,"Durham, North Carolina",Private (not-for-profit),,,
0,DST Systems,,1969,"Kansas City, Missouri",Public,,,
0,Weis Markets,,"1912 (Sunbury, Pennsylvania) by Harry and Sigmund Weis","Sunbury, Pennsylvania",Public,,,
0,HealthSouth,,1984,"Birmingham, Alabama",Public company,"27,000 (2015)",,
0,Equity Residential,,1969,"Riverside Plaza
Chicago, Illinois",Public,"3,500 [2]",,
0,Stanford Health Care,,,"Stanford, California, USA",Nonprofit,,,
0,Joe's Crab Shack,,"1991; 25 years ago (1991) in Houston, Texas, United States","Westchase District, Houston, Texas, United States",Wholly-owned subsidiary,,,
0,Trulia,,2004,"San Francisco, CA, USA",,900+,,
0,Children's Healthcare of Atlanta,,1998,,,,,
0,North Highland,,1992,"Atlanta, GA, U.S.",Private,"1,000+",,
0,United Rentals,,1997,"Greenwich, Connecticut, US",Public,,,
0,Strayer University,,,,"Private, 4-year, for-profit university",,,
0,Kirkland's,,"Jackson, Tennessee (1966 (1966))","Brentwood, Tennessee, U.S.",Public (NASDAQ: KIRK),,,
0,Fresh and Easy,Defunct,January 2007,"El Segundo, California",,,,"October 23, 2015 (2015-10-23)"
0,E. & J. Gallo Winery,,1933,,,,,
0,HubSpot,,June 2006,"Cambridge, Massachusetts",Public,785[2],,
0,Everest College,,,,non-profit career school,,,
0,Alliance Data,,"December 2, 1996","Plano, Texas, United States",Public,"15,000 (2015) [2]",,
0,Teva Pharmaceuticals,,1901; 115 years ago (1901),"Petah Tikva, Israel",Public,"43,000 (2014)",,
0,Rovi,,"1983 (as Macrovision)
2009 (as Rovi Corporation)","Santa Clara, California, United States",Public,1700+ (2014),,
0,University of Wisconsin,,,,"Public university flagship
Land-grant university
Sea-grant university",,,
0,Cheddar's,,1979,"Irving, Texas, U.S.",Private,,,
0,The Body Shop,,26 March 1976,"Littlehampton, United Kingdom",Subsidiary,,,
0,Henry Ford Health System,,1915[1],"Detroit, Michigan, U.S.",Non-profit,"23,000 total (2008)[1]
3,632 nurses (2008)[1]",,
0,Tommy Bahama,,,Seattle,Subsidiary,,,
0,American Medical Response,,1992,"Greenwood Village, Colorado",Subsidiary,"19,800",,
0,Actavis,,"Libertyville, Illinois, United States (Spring 1984)","Dublin, Ireland and Parsippany-Troy Hills, New Jersey, United States.",Sold to Teva Pharmaceuticals (July 2015),"21,600 (Feb. 2015)",,
0,Soma Intimates,,1983,"Fort Myers, FL, U.S.",Public (NYSE: CHS),"23,700 [2013]",,
0,San Jose State,,,,Public,,,
0,The University of Alabama,,,,"Flagship
Public university
Sea-grant
Space-grant",,,
0,University of Oregon,,,,"Public
Flagship[1][2]
Research",,,
0,Tufts University,,,,Private non-profit,,,
0,Nortel Networks,Bankruptcy,"1895; 121 years ago (1895)
Montreal, Quebec","Mississauga, Ontario, Canada",Public,"


18 (US, July 2012);[1]
~35 (non-US, July 2012)[citation needed]


",,
0,Corinthian Colleges,Dissolved,February 1995 (1995-02),,,,,"April 27, 2015 (2015-04-27)"
0,Stream Global Services,,,"Eagan, Minnesota, U.S.",Public,"37,000+ (2013)[2]",,
0,FleishmanHillard,,1946,"St. Louis, Missouri",Private,,,
0,Praxair,,1907,"Danbury, Connecticut",Public,"27,000 (2014)",,
0,CBS Interactive,,,"235 Second Street, San Francisco, California, United States",Division of CBS Corporation,"2,080 (CNET, 2006)",,
0,UC Santa Cruz,,,,"Public
Land-grant
Space-grant",,,
0,Ricoh,,"Tokyo, February 6, 1936; 80 years ago (1936-02-06)","Chūō, Tokyo, Japan",Public,"109,950 (March 31, 2015)",,
0,Bojangles',,1977,"Charlotte, North Carolina",Public,,,
0,Armani Exchange,,1975,"Milan, Italy",Private,,,
0,Canon USA,,"August 10, 1937; 78 years ago (1937-08-10) (as Seikikōgaku kenkyūsho (jpn. 精機光學研究所, Precision Optical Industry Co. Ltd.)
Tokyo, Japan","Ōta, Tokyo, Japan",Public (K.K.),"191,889 (2015)[2]",,
0,Republic Airways,,1973,"Indianapolis, Indiana, USA",Public,"In holding company (450)
In all subsidiaries(10000+)",,
0,Shaw Industries,,1946,"Dalton, Georgia, USA",Subsidiary,,,
0,Sony Music Entertainment,,"


1929; 87 years ago (1929) (as ARC)
1938; 78 years ago (1938) (as Columbia/CBS Records)
1991; 25 years ago (1991) (as SME)
2004; 12 years ago (2004) (as Sony BMG)
2008; 8 years ago (2008) (as SME)


","New York, New York, U.S.",Subsidiary of Sony Entertainment Inc.,,,
0,XO Communications,,,"Herndon, VA, U.S.",Private,"3,000",,
0,Embassy Suites,,1984,,Franchise,,,
0,Empire Today,,1959,"Northlake, Illinois, U.S.",Private,,,
0,University of Tennessee,,,,Flagship public university,,,
0,Space Systems/Loral,,1957,"Palo Alto, California",Subsidiary,,,
0,Murphy USA,,1996 (became independent in 2013 as spin-off of Murphy Oil),"El Dorado, Arkansas, U.S.",Public,,,
0,BE Aerospace,,1987 as Bach Engineering[1],"Wellington, Florida, USA",Public company,"9,617[4]",,
0,Sleepy's,,1957,"Hicksville, New York, U.S.",Public,,,
0,Ingles Markets,,"1963; 53 years ago (1963) (as Ingles)
Asheville, North Carolina, U.S.","Black Mountain, North Carolina, U.S.",Public,"18,800[4]",,
0,Collabera,,1990,"Morristown, New Jersey, United States",Private,"12,000+[citation needed]",,
0,Edible Arrangements,,"East Haven, Connecticut, USA (1999)","95 Barnes Road, Wallingford, Connecticut, 06492, USA",Private Company,92,,
0,Airbnb,,2008; 8 years ago (2008),"San Francisco, California, United States",Private,,,
0,Glassdoor,,June 2007,"Sausalito, California, U.S.",Private,,,
0,Qdoba,,"1995; 21 years ago (1995) (Denver, Colorado)","Lakewood, Colorado",Subsidiary,,,
0,Altera,,1983,"San Jose, California, United States",Subsidiary of Intel,"2,884 (December 2011)",,
0,PRA Health Sciences,,"Charlottesville, Virginia, United States (1976 (1976))","Raleigh, North Carolina, United States",Public,"~12,000",,
0,Reynolds American,,2004,"Winston-Salem, North Carolina, United States",Public,"5,400 (2011)",,
0,Bio-Rad Laboratories,,1952,"Hercules, California, U.S.A.",Public (NYSE: BIO),"7,800+ [1]",,
0,Springleaf Finance,,1920,"Evansville, IN",Public,"8,000",,
0,L.L. Bean,,1912 (1912),"15 Casco Street
Freeport, Maine,
United States",Private,"5,000 (2014)[2]",,
0,AllianceBernstein,,1967,"1345 Avenue of the Americas
New York, New York, U.S.",Publicly traded partnership,"3,450",,
0,Popeyes,,"June 12, 1972; 44 years ago (1972-06-12) (as Chicken on the Run)
Arabi, Louisiana, U.S.","Sandy Springs, Georgia, U.S.",Subsidiary,2006 (Dec 2013)[1],,
0,Mutual of Omaha,,1909,"Omaha, Nebraska, USA",Mutual company,"5,000 (February 2016)",,
0,Comcast Spotlight,,,"New York City, NY, United States of America",Division,,,
0,Tenet Healthcare,,1967,"Fountain Place
Dallas, Texas, U.S.",Public company,"130,000 (December 2015)[2]",,
0,Sony,,"7 May 1946; 70 years ago (1946-05-07)
Tokyo, Japan[1]","Minato, Tokyo, Japan",Public kabushiki gaisha,"125,300 (31 March 2016)[1]",,
0,Ipsos,,1975 (1975),"Paris, France[1]",Société anonyme,"16,530",,
0,SunEdison,,1959,"Maryland Heights, Missouri
Belmont, California",Public,"7,300 (2014)[1]",,
0,Build-A-Bear,,1997; 19 years ago (1997),"Overland, Missouri, U.S.[1]",Public,"~5,643 (2011)",,
0,University of New Mexico,,,,"Public, State Flagship",,,
0,Love's Travel Stops & Country Stores,,1964,"The Village, Oklahoma, United States",Private,"15,000 (2016)",,
0,Beth Israel Deaconess Medical Center,,"Deaconess – 1896, Beth Israel – 1916; Merged 1996",,,,,
0,DocuSign,,2003,"San Francisco, California",,,,
0,Valspar,,"Boston, Massachusetts (1806)","Minneapolis, Minnesota",Public,"10,702",,
0,CHRISTUS Health,,1999,"Irving, Texas, United States",Not-for-profit Health System,,,
0,Western Governors University,,,,"Private, Non-profit",,,
0,Polycom,,1990,"San Jose, California, U.S.","Public (NASDAQ: PLCM)
(Acquisition by Siris Capital Group pending)","3,800",,
0,AirWatch,,"2003 (2003) in Atlanta, USA","Atlanta, USA",,"2,300",,
0,IDEXX Laboratories,,1983,"Westbrook, Maine, United States",Public,"5,500 (Dec 31, 2013)",,
0,Twentieth Century Fox,,"May 31, 1935; 81 years ago (1935-05-31),[1] by merger","Fox Plaza
10201 W. Pico Blvd, 
Century City, Los Angeles, CA 90064
U.S.",Subsidiary of 21st Century Fox,,,
0,Marcus & Millichap,,1971,"Calabasas, California, U.S.",Public (NYSE: MMI),"1,800[1]",,
0,Liberty University,,,,Private,,,
0,Constant Contact,,Massachusetts 1995,"Waltham, Massachusetts",Public,"1,235",,
0,VWR International,,1852,"Radnor, PA, USA",Public (NASDAQ: VWR),"Over 8,000 worldwide",,
0,Santander Consumer USA,,"Santander, Spain
(1857; 159 years ago (1857))","Santander, Spain",Sociedad Anónima,"185,405 (2014)[1]",,
0,West Virginia University,,,,"Public, Land-grant, Space-grant university",,,
0,Grifols,,1940,"Barcelona, Catalonia (Spain)",Sociedad Anónima,"


 13,731 (2015, average)
12,938 (2014, average)[1]:64


",,
0,Children's Hospital of Philadelphia,,1855,,,,,
0,Blue Cross and Blue Shield Association,,1929,"Michigan Plaza
Chicago, Illinois",Independent,,,
0,SiriusXM,,"May 17, 1990; 26 years ago (1990-05-17)","1221 Avenue of the Americas
New York City, New York, U.S.",Public,"2,323 (2015)[1]",,
0,Illinois Institute of Technology,,,,"Private, Space-grant",,,
0,U.S. Senate,,,,"
Upper house of the United States Congress
",,,
0,Gordmans,,1936,"Omaha, Nebraska",Public,,,
0,Direct Energy,,1985[1] or 1986[2],"Houston,Texas",Energy retailer,,,
0,Smashburger,,"2007; 9 years ago (2007)
Denver, Colorado, United States","Denver, Colorado, United States",Private,,,
0,Brown University,,,,Private,,,
0,Health Net,,,"Woodland Hills, Los Angeles, California",Public,"9,300",,
0,Genpact,,1997,,Public,"70,000+ (2015)",,
0,Panasonic,,"March 13, 1918; 98 years ago (1918-03-13)
Osaka, Japan","Kadoma, Osaka, Japan",Public,"254,084 (Q3, 2015)[* 2]",,
0,FICO,,"1956 (as Fair, Issac, and Company)","San Jose, California",Public company,"2,646 (2014)",,
0,Atria Senior Living,,2003,"Louisville, Kentucky",Private,,,
0,Johns Hopkins Medicine,,,,Private,,,
0,EchoStar,,1980,"Inverness, Colorado, United States",Public,,,
0,Weill Cornell Medical College,,,,Private,,,
0,Rooms To Go,,"September 7, 1990","Seffner, Florida, U.S.",Private,"Approx. 7,000 (2007)[1]",,
0,Firehouse Subs,,1994,"Jacksonville, Florida, USA",Private,,,
0,Huntington Ingalls Industries,,"2008
(as Northrop Grumman Shipbuilding)
2011
(as Huntington Ingalls Industries)","Newport News, Virginia, United States",Public,"37,000",,
0,Société Générale,,"May 4, 1864; 152 years ago (1864-05-04)","Boulevard Haussmann, 9th arrondissement, Paris (registered office),
Tours Société Générale, Nanterre/La Défense, France (operational headquarters)",Société Anonyme,"146,000 (2015)[2]",,
0,BHP Billiton,,"Broken Hill Proprietary Company Limited (BHP) 1885;
Billiton plc 1860;
Merger of BHP & Billiton 2001 (creation of a DLC)","Melbourne, Australia
(BHP Billiton Group & BHP Billiton Limited)
London, United Kingdom
(BHP Billiton Plc)[1]",Public,"29,670 (2015)[3]",,
0,Godiva Chocolatier,,1926,"333 West 34th Street,
New York City, U.S., Belgium",Subsidiary,,,
0,Deluxe Corporation,,"1915 (1915), Saint Paul, Minnesota","Shoreview, Minnesota, USA",Public,"5,400",,
0,CBS,,"September 18, 1927; 88 years ago (1927-09-18)
by William S. Paley","CBS Building,
New York City","Broadcast television network (1941–present)
Radio network (1927–present)",,,
0,MphasiS,,Incorporated June 2000,"Bangalore, India",Public,"22,358 (June 2016)[1]",,
0,Shaw's,,"1860 (Portland, Maine)[1]","West Bridgewater, Massachusetts",Subsidiary,,,
0,Chesapeake Energy,,1989 (1989),Oklahoma City,Public company,"4,400[1]",,
0,Modell's Sporting Goods,,1889,"New York, New York",Private,,,
0,Analog Devices,,"Cambridge, Massachusetts, United States (1965)","Norwood, Massachusetts,
United States",Public,"9,600 (2014)",,
0,MSC Industrial Direct,,"New York, NY (1941)","Melville, NY,
Davidson, North Carolina",Public,6257 (2013),,
0,Disneyland Resort,,"July 17, 1955; 61 years ago (1955-07-17)","Anaheim, California, United States",,,,
0,GrubHub,,,"Chicago, IL, U.S.",Public,,,
0,JDA Software,,1985,"Scottsdale, Arizona, USA",Private,,,
0,Accretive Health,,2003,"Chicago, Illinois",Public,,,
0,Laureate Education,,1999,"Baltimore, MD, U.S.",,"50,000+",,
0,The Coffee Bean & Tea Leaf,,"Los Angeles, CA (1963)","Los Angeles, CA, USA",Private,"12,000
(May 2013)[2]",,
0,Mentor Graphics,,1981,"Wilsonville, Oregon,
United States
45°19′10″N 122°45′46″W﻿ / ﻿45.31944°N 122.76278°W﻿ / 45.31944; -122.76278Coordinates: 45°19′10″N 122°45′46″W﻿ / ﻿45.31944°N 122.76278°W﻿ / 45.31944; -122.76278",Public,"5,220 (2014)[4]",,
0,Internet Brands,,"June 27, 1998; 18 years ago (1998-06-27)[1] (as CarsDirect)","El Segundo, California, United States",Private,,,
0,Salem Media Group,,,"4880 Santa Rosa Road
Camarillo, California, United States",Public,,,
0,Luxottica,,"Agordo, Italy
1961; 55 years ago (1961)","Milan, Italy",Società per azioni,"79,000 (2015)[1]",,
0,Henry Schein,,"Queens, New York
(1932; 84 years ago (1932))","Melville, New York, U.S.",Public,"Over 18,000 (2015)",,
0,Earth Fare,,1975,"Asheville, North Carolina, USA",Private,"2,500",,
0,MedStar Health,,1998,"5565 Sterret Pl., Columbia, Maryland, USA","Private, not-for-profit","28,061 associates, 5,600 affiliated physicians[4]",,
0,Rush University Medical Center,,"March 2, 1837",,,,,
0,St. Jude Children's Research Hospital,,1962,,,,,
0,Huawei Technologies,,1987; 29 years ago (1987),"Shenzhen, Guangdong, China",Private,"170,000+ (2015)",,
0,GE Oil & Gas,,,"London, United Kingdom",Subsidiary,,,
0,Campbell Soup Company,,1869; 147 years ago (1869),"Camden, New Jersey, U.S.",Public,"17,500 (2011)[1]",,
0,The Hanover Insurance Group,,1852,"Worcester, Massachusetts, United States",Public,,,
0,Keurig Green Mountain,,"Waitsfield, Vermont, U.S. (1981 (1981))[1]","Waterbury, Vermont, U.S.",Privately held,,,
0,StubHub,,2000; 16 years ago (2000),"San Francisco, California, United States",Subsidiary,,,
0,CR England,,1920,"Salt Lake City, Utah, United States",Private,,,
0,Raising Cane's,,"26 August 1996; 19 years ago (1996-08-26)
Baton Rouge, Louisiana, U.S,","Baton Rouge, Louisiana, U.S.",Private,,,
0,Elsevier,,1880; 136 years ago (1880),"Amsterdam, Netherlands",,,,
0,McGraw Hill Financial,,1917,"55 Water Street
New York City, U.S.[1]",Public,"17,000 (May, 2013)[3]",,
0,Cree,,,,,,,
0,Cedars-Sinai Medical Center,,1902,,,,,
0,NRG Energy,,,"West Windsor, New Jersey (financial), Houston, Texas (operations)[1]",Public,"~10,000[2]",,
0,Virginia Commonwealth University,,,,Public,,,
0,American University,,,,Private,,,
0,General Dynamics Electric Boat,,1899,"Groton, Connecticut, USA",Subsidiary,,,
0,Westat,,"Rockville, Maryland (1963)","Rockville, Maryland",Employee-owned,,,
0,Tableau Software,,"Seattle, Washington (2003)","Seattle, Washington, U.S.",Public,"2,400 (May 2015)",,
0,Paramount Pictures,,"May 8, 1912; 104 years ago (1912-05-08) (as Famous Players Film Company)","Hollywood, California, 
United States",Subsidiary,,,
0,National Grid USA,,"1990; 26 years ago (1990)
(London)","Warwick, United Kingdom",Public limited company,"24,274 (2015)[1]",,
0,Friendly's Ice Cream,,"Springfield, Massachusetts (1935)[1]","Wilbraham, Massachusetts, United States",Private,"10,000",,
0,AKQA,,"March 2001 (2001-03) in San Francisco, USA and London, England",,Subsidiary of WPP plc,"2,000",,
0,New York Times,,"September 18, 1851; 164 years ago (1851-09-18)","The New York Times Building
620 Eighth Avenue
New York City, 10018",Daily newspaper,,,
0,Fairfax County Public Schools,,1870,,,,,
0,Fry's Food,,"1954 (Contra Costa County, California)","Tolleson, Arizona, United States",Subsidiary,"18,500",,
0,Cash America,,1984,"Fort Worth, TX, United States",Public (NYSE: CSH),,,
0,Dana-Farber Cancer Institute,,1947,,,,,
0,Anthem Blue Cross and Blue Shield,,Anthem Insurance and WellPoint Health Networks merger in 2004,"Indianapolis, Indiana, United States",Public,"37,000+",,
0,Rain Bird,,1933,"Azusa, California, USA",Private,,,
0,Advent Software,,1983 (1983),"San Francisco, CA, United States",Subsidiary of SS&C Technologies,"1,209[3]",,
0,Independence Blue Cross,,,"G. Fred DiBona Jr. Building
Philadelphia, Pennsylvania",Private not-for-profit,,,
0,Select Medical,,1996 (1996),"Mechanicsburg, Pennsylvania, United States",Limited company,">42,000",,
0,DuPont Pioneer,,"Des Moines, Iowa (1926)","Johnston, Iowa, United States",Agriculture/Subsidiary,"12,300 (estimate)",,
0,Copart,,"Vallejo, California (1982) ((1982))","Dallas, Texas, U.S.",Public,"4,179 (2014)[1]",,
0,Daimler Trucks North America,,2008,"Portland, Oregon, United States",LLC,"20,000 (2013)",,
0,Universal Health Services,,1979,"King of Prussia, Pennsylvania, United States",Public,,,
0,Royal Bank of Scotland,,1727; 289 years ago (1727),"Edinburgh, Scotland",Public company1,"92,4002",,
0,Atos,,1988,"Bezons, France - Munich, Germany",Societas Europaea,"100,000 (2015)[2]",,
0,GE Transportation,,,"Heller International Building
Chicago, Illinois, United States",Subsidiary,,,
0,Weyerhaeuser,,"1900, Longview, Washington, United States","Federal Way, Washington, USA",Public,"13,200[2]",,
